Sentence,Lesson
Il a lu.,7
Il a mal.,5
Il y a le lama.,5
Il a sali le sol.,8
Il a le lasso.,8
Il a semé le lama.,9
Il a lavé le sas.,10
Il a vissé la vis.,13
Le vélo a sali le sol.,10
Il va à la villa.,10
Il y a le mari.,11
Il va sur Mars.,11
Il a râlé.,11
Il a survolé Mars.,11
Il va ouvrir la villa.,12
Le sou a roulé sur le sol.,12
Il a réussi.,11
La souris se mit sur le lit.,13
Il se lave.,13
Il y va à vélo.,10
La sonnerie a sonné.,13
La louve salue la Lune.,13
Le narval va sous le navire.,13
Le lilas orne le mur.,13
Il lit le menu.,13
Il a nourrit le lama.,13
Il rit.,13
La loi du roi fut dure.,21
Ma tata m'a amenée à la foire.,21
Papy pédale à vélo !,20
Papa part à vélo.,20
La pie a lâché une jolie plume.,20
Je lis le titre du livre.,19
La cascade coule de la roche.,22
La clé ouvre la porte.,22
Je suis très rapide !,23
Ouvre la fenêtre.,23
La fête a duré toute la nuit.,23
Il aura la crêpe à la banane.,31
La farine se prépare à partir du blé.,24
Le crabe se balade sur la sable.,24
Je lis à ma copine.,22
Le bébé a bu tout le bol de soupe,24
Le tigre chasse la biche.,25
Le cheval galope à toute allure.,25
La pirogue a chaviré sous la vague.,25
La dame porte une jolie bague.,25
Je suis ravi de te voir !,21
Papa conduira le gros camion.,26
Le dragon survole la tour.,26
Ne gratte pas le bouton sur ton bras.,26
Ils font du café.,26
Le chat noir ronronne sur le canapé.,26
Mamie tricote un pull.,22
Apporte ton ballon !,26
Ne taquine pas ta copine !,27
Il va venir.,13
La poule remue sa plume.,20
Il joue une ballade sur sa guitare.,25
Le bouchon se bloque.,27
Tu es très fort ! ,37
Il est très fort !,28
Il est pas à la boutique.,28
Il est rapide.,28
Tu es triste.,37
Il est triste.,28
Tu es sorti.,37
Il est sorti.,28
Il gravit lentement la pente.,29
Le vent souffle fort sur la colline.,29
Je me brosse les dents,37
Qui est de retour.,28
Papi regarde un film à la télé.,25
Il sèche la tâche sur sa manche.,30
La taupe vit sous le sol.,31
Le judoka enfile son kimono.,32
Je sais lire !,33
Le lutin plante des carottes dans le jardin.,34
La tarte sent si bon.,29
Je vide les ordures.,37
Il a cassé une tasse.,22
La mouette a volé nos chips.,37
Je retourne la terre avec une pelle.,37
Enfile ta veste.,37
Il a perdu sa clé.,37
La vache vit animal à la ferme.,37
Quelle chance! ,38
Nous allons avec papy pour les vacances.,38
Tu dessines un carré.,37
Le sol est couvert de glace.,38
Le cyclone souffle fort sur le port.,38
Les soldats ont été pris dans une embuscade.,40
La petite courut vers sa maman.,37
Papa remue la soupe.,20
Il allume sa lampe dans sa chambre.,41
Elle coupe des tranches de jambon cru.,41
Le bébé est un amour.,28
Le bambou pousse dans la jungle.,41
Nous avons décoré ma chambre.,41
Il joue du trombone,42
On coupe les pommes pour la compote.,42
La pomme est bonne.,28
